state_name,county,Sum of LA1and10,Count of CensusTract,LA County Rate,low_access_flag
Alabama,Bullock,3,3,1,YES
Alabama,Baldwin,15,31,0.483870968,NO
Alaska,Aleutians East,1,1,1,YES
Alabama,Bibb,0,4,0,NO
Alabama,Blount,2,9,0.222222222,NO
Alaska,Bethel,3,3,1,YES
Alabama,Butler,3,9,0.333333333,NO
Alabama,Calhoun,15,31,0.483870968,NO
Alabama,Chambers,4,9,0.444444444,NO
Alabama,Cherokee,1,6,0.166666667,NO
Alabama,Chilton,1,9,0.111111111,NO
Alabama,Choctaw,1,4,0.25,NO
Alaska,Bristol Bay,1,1,1,YES
Alabama,Clay,0,4,0,NO
Alabama,Cleburne,0,4,0,NO
Alabama,Coffee,6,14,0.428571429,NO
Alabama,Colbert,6,14,0.428571429,NO
Alaska,Denali,1,1,1,YES
Alaska,Haines,1,1,1,YES
Alabama,Covington,6,14,0.428571429,NO
Alaska,Hoonah-Angoon,1,1,1,YES
Alabama,Cullman,3,18,0.166666667,NO
Alabama,Dale,4,14,0.285714286,NO
Alabama,Dallas,4,15,0.266666667,NO
Alabama,DeKalb,0,14,0,NO
Alabama,Elmore,3,15,0.2,NO
Alabama,Escambia,4,9,0.444444444,NO
Alabama,Etowah,13,30,0.433333333,NO
Alabama,Fayette,0,5,0,NO
Alabama,Franklin,3,9,0.333333333,NO
Alabama,Geneva,1,6,0.166666667,NO
Alaska,Lake and Peninsula,1,1,1,YES
Alabama,Hale,2,6,0.333333333,NO
Alabama,Henry,2,6,0.333333333,NO
Alabama,Houston,7,22,0.318181818,NO
Alabama,Jackson,3,11,0.272727273,NO
Alaska,North Slope,3,3,1,YES
Alabama,Lamar,0,3,0,NO
Alabama,Lauderdale,6,22,0.272727273,NO
Alabama,Lawrence,2,9,0.222222222,NO
Alaska,Southeast Fairbanks,2,2,1,YES
Alabama,Limestone,4,16,0.25,NO
Alabama,Lowndes,1,4,0.25,NO
Alaska,Wade Hampton,1,1,1,YES
Alaska,Yakutat,1,1,1,YES
Alaska,Yukon-Koyukuk,4,4,1,YES
Alabama,Marion,1,8,0.125,NO
Alabama,Marshall,8,18,0.444444444,NO
Alabama,Mobile,45,114,0.394736842,NO
Alabama,Monroe,3,7,0.428571429,NO
Arkansas,Calhoun,2,2,1,YES
Alabama,Morgan,8,27,0.296296296,NO
Alabama,Perry,1,3,0.333333333,NO
Alabama,Pickens,0,5,0,NO
Alabama,Pike,2,8,0.25,NO
Arkansas,Dallas,3,3,1,YES
Alabama,Russell,3,13,0.230769231,NO
Arkansas,Grant,4,4,1,YES
Alabama,St. Clair,2,13,0.153846154,NO
Alabama,Sumter,1,4,0.25,NO
Alabama,Talladega,7,22,0.318181818,NO
Alabama,Tallapoosa,1,10,0.1,NO
Alabama,Tuscaloosa,18,47,0.382978723,NO
Alabama,Walker,2,18,0.111111111,NO
Alabama,Washington,1,5,0.2,NO
Arkansas,Hempstead,5,5,1,YES
Alabama,Winston,1,7,0.142857143,NO
Arkansas,Montgomery,3,3,1,YES
Arkansas,Nevada,3,3,1,YES
Arkansas,Newton,2,2,1,YES
Alaska,Anchorage,26,55,0.472727273,NO
Arkansas,Scott,3,3,1,YES
California,Alpine,1,1,1,YES
California,Mono,3,3,1,YES
California,Sierra,1,1,1,YES
Alaska,Fairbanks North Star,8,19,0.421052632,NO
Colorado,Bent,1,1,1,YES
Colorado,Cheyenne,1,1,1,YES
Alaska,Juneau,2,6,0.333333333,NO
Colorado,Costilla,2,2,1,YES
Alaska,Ketchikan Gateway,0,4,0,NO
Alaska,Kodiak Island,2,5,0.4,NO
Colorado,Custer,1,1,1,YES
Alaska,Matanuska-Susitna,11,24,0.458333333,NO
Colorado,Dolores,1,1,1,YES
Colorado,Kiowa,1,1,1,YES
Colorado,Lake,2,2,1,YES
Colorado,Moffat,4,4,1,YES
Alaska,Skagway Municipality,0,1,0,NO
Colorado,San Juan,1,1,1,YES
Colorado,Yuma,2,2,1,YES
Georgia,Baker,2,2,1,YES
Georgia,Clay,1,1,1,YES
Georgia,Glascock,1,1,1,YES
Georgia,Taliaferro,1,1,1,YES
Idaho,Benewah,2,2,1,YES
Idaho,Boise,1,1,1,YES
Idaho,Butte,1,1,1,YES
Idaho,Camas,1,1,1,YES
Idaho,Clark,1,1,1,YES
Arizona,La Paz,4,9,0.444444444,NO
Arizona,Maricopa,332,916,0.362445415,NO
Idaho,Custer,1,1,1,YES
Idaho,Idaho,5,5,1,YES
Arizona,Pima,104,241,0.43153527,NO
Idaho,Lincoln,1,1,1,YES
Idaho,Teton,1,1,1,YES
Illinois,Edgar,5,5,1,YES
Arizona,Yuma,20,55,0.363636364,NO
Illinois,Gallatin,2,2,1,YES
Illinois,Stark,2,2,1,YES
Arkansas,Baxter,3,9,0.333333333,NO
Arkansas,Benton,24,49,0.489795918,NO
Iowa,Fremont,3,3,1,YES
Arkansas,Bradley,1,5,0.2,NO
Iowa,Osceola,2,2,1,YES
Arkansas,Carroll,2,5,0.4,NO
Iowa,Van Buren,2,2,1,YES
Kansas,Chase,1,1,1,YES
Arkansas,Clay,2,6,0.333333333,NO
Arkansas,Cleburne,3,7,0.428571429,NO
Kansas,Chautauqua,1,1,1,YES
Kansas,Clark,1,1,1,YES
Kansas,Coffey,3,3,1,YES
Arkansas,Craighead,7,17,0.411764706,NO
Kansas,Elk,1,1,1,YES
Arkansas,Crittenden,8,20,0.4,NO
Kansas,Ellsworth,2,2,1,YES
Kansas,Franklin,5,5,1,YES
Kansas,Greeley,1,1,1,YES
Kansas,Hamilton,1,1,1,YES
Arkansas,Faulkner,9,25,0.36,NO
Arkansas,Franklin,1,3,0.333333333,NO
Kansas,Haskell,1,1,1,YES
Kansas,Hodgeman,1,1,1,YES
Kansas,Kearny,1,1,1,YES
Kansas,Kingman,3,3,1,YES
Kansas,Kiowa,1,1,1,YES
Kansas,Lincoln,1,1,1,YES
Kansas,Logan,1,1,1,YES
Arkansas,Independence,2,8,0.25,NO
Arkansas,Izard,0,4,0,NO
Kansas,Mitchell,2,2,1,YES
Arkansas,Jefferson,6,24,0.25,NO
Kansas,Morton,1,1,1,YES
Kansas,Norton,1,1,1,YES
Kansas,Osborne,1,1,1,YES
Kansas,Ottawa,2,2,1,YES
Arkansas,Lincoln,1,4,0.25,NO
Arkansas,Little River,0,4,0,NO
Kansas,Pawnee,2,2,1,YES
Arkansas,Lonoke,5,16,0.3125,NO
Kansas,Pratt,3,3,1,YES
Kansas,Rawlins,1,1,1,YES
Kansas,Russell,2,2,1,YES
Arkansas,Mississippi,5,12,0.416666667,NO
Kansas,Scott,1,1,1,YES
Kansas,Sherman,2,2,1,YES
Kansas,Stafford,2,2,1,YES
Kansas,Thomas,2,2,1,YES
Kansas,Wallace,1,1,1,YES
Arkansas,Perry,1,3,0.333333333,NO
Kansas,Washington,2,2,1,YES
Kansas,Wichita,1,1,1,YES
Arkansas,Poinsett,3,7,0.428571429,NO
Kentucky,Robertson,1,1,1,YES
Louisiana,Beauregard,7,7,1,YES
Arkansas,Prairie,1,3,0.333333333,NO
Louisiana,East Carroll,3,3,1,YES
Louisiana,La Salle,3,3,1,YES
Arkansas,Saline,9,21,0.428571429,NO
Michigan,Alger,3,3,1,YES
Michigan,Baraga,2,2,1,YES
Arkansas,Sebastian,6,26,0.230769231,NO
Minnesota,Grant,2,2,1,YES
Minnesota,Kittson,2,2,1,YES
Minnesota,Koochiching,4,4,1,YES
Minnesota,Red Lake,2,2,1,YES
Mississippi,Amite,3,3,1,YES
Arkansas,Van Buren,2,5,0.4,NO
Arkansas,Washington,11,32,0.34375,NO
Arkansas,White,6,13,0.461538462,NO
Arkansas,Woodruff,0,2,0,NO
Mississippi,Benton,2,2,1,YES
California,Alameda,56,360,0.155555556,NO
Mississippi,Carroll,2,2,1,YES
California,Amador,0,9,0,NO
California,Butte,25,51,0.490196078,NO
California,Calaveras,2,10,0.2,NO
Mississippi,Franklin,2,2,1,YES
California,Contra Costa,97,208,0.466346154,NO
Mississippi,Issaquena,1,1,1,YES
California,El Dorado,18,43,0.418604651,NO
California,Fresno,55,199,0.27638191,NO
Mississippi,Kemper,2,2,1,YES
California,Humboldt,9,30,0.3,NO
California,Imperial,13,31,0.419354839,NO
Mississippi,Leake,5,5,1,YES
California,Kern,55,151,0.364238411,NO
California,Kings,12,27,0.444444444,NO
California,Lake,2,15,0.133333333,NO
Mississippi,Montgomery,3,3,1,YES
California,Los Angeles,301,2343,0.128467776,NO
California,Madera,5,23,0.217391304,NO
California,Marin,16,55,0.290909091,NO
California,Mariposa,2,6,0.333333333,NO
California,Mendocino,8,20,0.4,NO
California,Merced,20,49,0.408163265,NO
Mississippi,Stone,3,3,1,YES
Mississippi,Wilkinson,2,2,1,YES
California,Monterey,22,93,0.23655914,NO
California,Napa,7,40,0.175,NO
Missouri,DeKalb,2,2,1,YES
California,Orange,98,583,0.168096055,NO
California,Placer,39,85,0.458823529,NO
California,Plumas,1,7,0.142857143,NO
California,Riverside,197,453,0.434878587,NO
California,Sacramento,96,317,0.302839117,NO
California,San Benito,5,11,0.454545455,NO
California,San Bernardino,150,369,0.406504065,NO
California,San Diego,185,628,0.294585987,NO
California,San Francisco,3,196,0.015306122,NO
California,San Joaquin,32,139,0.230215827,NO
California,San Luis Obispo,23,53,0.433962264,NO
California,San Mateo,30,158,0.189873418,NO
California,Santa Barbara,27,90,0.3,NO
California,Santa Clara,60,372,0.161290323,NO
California,Santa Cruz,21,52,0.403846154,NO
California,Shasta,20,48,0.416666667,NO
Missouri,Douglas,3,3,1,YES
California,Siskiyou,6,14,0.428571429,NO
California,Solano,36,96,0.375,NO
California,Sonoma,31,99,0.313131313,NO
California,Stanislaus,24,94,0.255319149,NO
Missouri,Grundy,4,4,1,YES
Missouri,Holt,3,3,1,YES
California,Trinity,2,5,0.4,NO
California,Tulare,26,78,0.333333333,NO
California,Tuolumne,3,11,0.272727273,NO
California,Ventura,60,174,0.344827586,NO
California,Yolo,8,41,0.195121951,NO
California,Yuba,4,14,0.285714286,NO
Colorado,Adams,45,97,0.463917526,NO
Missouri,Laclede,6,6,1,YES
