,state_abbrev,county,McDonaldsCount
0,AK,Anchorage Borough,18
1,AL,Autauga,3
2,AL,Baldwin,10
3,AL,Bullock,1
4,AL,Chilton,2
5,AL,Clarke,3
6,AL,Cullman,4
7,AL,Dale,2
8,AL,Elmore,3
9,AL,Escambia,4
10,AL,Etowah,7
11,AL,Franklin,2
12,AL,Jefferson,29
13,AL,Lee,7
14,AL,Macon,2
15,AL,Madison,15
16,AL,Marion,2
17,AL,Marshall,3
18,AL,Mobile,27
19,AL,Morgan,6
20,AL,Shelby,5
21,AL,Tuscaloosa,10
22,AR,Benton,15
23,AR,Bradley,1
24,AR,Chicot,1
25,AR,Dallas,1
26,AR,Faulkner,5
27,AR,Howard,1
28,AR,Logan,2
29,AR,Pulaski,29
30,AR,Saline,6
31,AR,Scott,1
32,AR,Sebastian,9
33,AR,Sharp,2
34,AR,Washington,13
35,AR,White,5
36,AZ,Coconino,9
37,AZ,La Paz,2
38,AZ,Maricopa,177
39,AZ,Mohave,8
40,AZ,Pima,43
41,AZ,Yavapai,12
42,AZ,Yuma,9
43,CA,Alameda,49
44,CA,Butte,8
45,CA,Contra Costa,30
46,CA,Kern,43
47,CA,Kings,8
48,CA,Los Angeles,350
49,CA,Madera,5
50,CA,Merced,14
51,CA,Monterey,17
52,CA,Orange,101
53,CA,Placer,16
54,CA,Riverside,74
55,CA,Sacramento,62
56,CA,San Benito,3
57,CA,San Bernardino,76
58,CA,San Diego,108
59,CA,San Joaquin,32
60,CA,San Mateo,17
61,CA,Santa Barbara,16
62,CA,Santa Clara,64
63,CA,Solano,24
64,CA,Sonoma,16
65,CA,Stanislaus,25
66,CA,Sutter,4
67,CA,Tulare,18
68,CA,Ventura,29
69,CO,Adams,29
70,CO,Alamosa,1
71,CO,Arapahoe,28
72,CO,Broomfield,3
73,CO,Denver,28
74,CO,Douglas,9
75,CO,El Paso,26
76,CO,Garfield,3
77,CO,Grand,2
78,CO,Jefferson,23
79,CO,Larimer,11
80,CO,Mesa,7
81,CO,Morgan,2
82,CO,Pueblo,8
83,CT,Fairfield,29
84,CT,Hartford,37
85,CT,Middlesex,7
86,CT,New Haven,38
87,CT,New London,15
88,DE,Kent,8
89,DE,New Castle,20
90,DE,Sussex,11
91,FL,Alachua,11
92,FL,Baker,1
93,FL,Bay,13
94,FL,Brevard,32
95,FL,Broward,79
96,FL,Calhoun,1
97,FL,Charlotte,6
98,FL,Clay,9
99,FL,Collier,17
100,FL,Columbia,3
101,FL,Dixie,1
102,FL,Duval,51
103,FL,Escambia,14
104,FL,Flagler,6
105,FL,Gilchrist,1
106,FL,Hamilton,1
107,FL,Hendry,2
108,FL,Hernando,11
109,FL,Hillsborough,55
110,FL,Holmes,1
111,FL,Jackson,4
112,FL,Lake,16
113,FL,Lee,32
114,FL,Leon,15
115,FL,Manatee,15
116,FL,Marion,16
117,FL,Martin,7
118,FL,Miami-Dade,100
119,FL,Nassau,4
120,FL,Okaloosa,13
121,FL,Orange,63
122,FL,Osceola,15
123,FL,Palm Beach,57
124,FL,Pasco,20
125,FL,Pinellas,38
126,FL,Polk,36
127,FL,Santa Rosa,8
128,FL,Sarasota,17
129,FL,Seminole,20
130,FL,Volusia,24
131,GA,Appling,1
132,GA,Bacon,1
133,GA,Baldwin,3
134,GA,Barrow,2
135,GA,Bartow,8
136,GA,Ben Hill,1
137,GA,Berrien,1
138,GA,Bibb,10
139,GA,Bleckley,1
140,GA,Bryan,4
141,GA,Butts,1
142,GA,Candler,1
143,GA,Carroll,8
144,GA,Catoosa,2
145,GA,Charlton,1
146,GA,Chatham,18
147,GA,Cherokee,11
148,GA,Clarke,5
149,GA,Clayton,11
150,GA,Cobb,33
151,GA,Columbia,7
152,GA,Cook,1
153,GA,Coweta,7
154,GA,Crisp,1
155,GA,Dade,1
156,GA,DeKalb,33
157,GA,Dodge,1
158,GA,Dougherty,5
159,GA,Douglas,6
160,GA,Early,1
161,GA,Evans,1
162,GA,Fayette,5
163,GA,Forsyth,7
164,GA,Franklin,2
165,GA,Fulton,40
166,GA,Gilmer,1
167,GA,Glynn,6
168,GA,Grady,1
169,GA,Greene,1
170,GA,Gwinnett,35
171,GA,Habersham,2
172,GA,Hall,6
173,GA,Haralson,1
174,GA,Henry,14
175,GA,Houston,8
176,GA,Jackson,4
177,GA,Jeff Davis,1
178,GA,Jefferson,2
179,GA,Jenkins,1
180,GA,Lamar,1
181,GA,Lanier,1
182,GA,Lee,1
183,GA,Liberty,6
184,GA,Lowndes,7
185,GA,Macon,1
186,GA,McDuffie,1
187,GA,Morgan,1
188,GA,Muscogee,13
189,GA,Newton,6
190,GA,Oconee,2
191,GA,Paulding,4
192,GA,Peach,2
193,GA,Polk,3
194,GA,Pulaski,1
195,GA,Richmond,12
196,GA,Spalding,4
