,county,state_name,month,days_of_rain,highCelsius,lowCelsius
0,Baldwin,Alabama,May,6,29,17
1,Baldwin,Alabama,June,9,32,21
2,Baldwin,Alabama,July,11,33,22
3,Baldwin,Alabama,August,11,32,22
4,Baldwin,Alabama,January,8,16,4
5,Baldwin,Alabama,February,6,18,5
6,Baldwin,Alabama,March,7,22,9
7,Baldwin,Alabama,April,5,25,12
12,Baldwin,Alabama,septiembre,8,31,19
13,Baldwin,Alabama,October,4,27,13
14,Baldwin,Alabama,November,5,22,8
15,Baldwin,Alabama,December,6,18,5
16,Calhoun,Alabama,May,8,27,15
17,Calhoun,Alabama,June,7,31,19
18,Calhoun,Alabama,July,9,33,21
19,Calhoun,Alabama,August,6,32,21
20,Calhoun,Alabama,January,8,12,1
21,Calhoun,Alabama,February,8,14,2
22,Calhoun,Alabama,March,9,19,6
23,Calhoun,Alabama,April,7,24,10
28,Calhoun,Alabama,septiembre,5,29,17
29,Calhoun,Alabama,October,5,24,11
30,Calhoun,Alabama,November,7,18,5
31,Calhoun,Alabama,December,8,14,2
32,Cullman,Alabama,May,8,26,13
33,Cullman,Alabama,June,7,31,18
34,Cullman,Alabama,July,9,31,20
35,Cullman,Alabama,August,7,31,20
36,Cullman,Alabama,January,7,10,-1
37,Cullman,Alabama,February,9,13,1
38,Cullman,Alabama,March,9,18,5
39,Cullman,Alabama,April,7,22,8
44,Cullman,Alabama,septiembre,5,28,16
45,Cullman,Alabama,October,6,23,9
46,Cullman,Alabama,November,7,17,3
47,Cullman,Alabama,December,9,13,2
48,DeKalb,Alabama,May,9,28,13
49,DeKalb,Alabama,June,9,32,17
50,DeKalb,Alabama,July,10,33,19
51,DeKalb,Alabama,August,8,33,19
52,DeKalb,Alabama,January,9,11,0
53,DeKalb,Alabama,February,10,14,2
54,DeKalb,Alabama,March,10,19,5
55,DeKalb,Alabama,April,8,24,9
60,DeKalb,Alabama,septiembre,7,30,16
61,DeKalb,Alabama,October,7,24,10
62,DeKalb,Alabama,November,7,18,5
63,DeKalb,Alabama,December,11,12,2
64,Elmore,Alabama,May,7,27,14
65,Elmore,Alabama,June,7,31,18
66,Elmore,Alabama,July,9,32,20
67,Elmore,Alabama,August,7,32,20
68,Elmore,Alabama,January,9,12,1
