,state_abbrev,county,latitude,longitude
0,AL,Autauga,32.536382,–86.644490
1,AL,Baldwin,30.659218,–87.746067
2,AL,Barbour,31.87067,–85.405456
3,AL,Bibb,33.015893,–87.127148
4,AL,Blount,33.977448,–86.567246
5,AL,Bullock,32.101759,–85.717261
6,AL,Butler,31.751667,–86.681969
7,AL,Calhoun,33.771706,–85.822513
8,AL,Chambers,32.917943,–85.391812
9,AL,Cherokee,34.069515,–85.654242
10,AL,Chilton,32.85406,–86.726628
11,AL,Choctaw,31.991008,–88.248887
12,AL,Clarke,31.685521,–87.818624
13,AL,Clay,33.267809,–85.862051
14,AL,Cleburne,33.671981,–85.516109
15,AL,Coffee,31.402183,–85.989201
16,AL,Colbert,34.703112,–87.801457
17,AL,Conecuh,31.428293,–86.992029
18,AL,Coosa,32.931445,–86.243482
19,AL,Covington,31.243987,–86.448721
20,AL,Crenshaw,31.732826,–86.319222
21,AL,Cullman,34.131923,–86.869267
22,AL,Dale,31.430654,–85.609476
23,AL,Dallas,32.33354,–87.114356
24,AL,DeKalb,34.460929,–85.803992
25,AL,Elmore,32.597229,–86.142739
26,AL,Escambia,31.121748,–87.168429
27,AL,Etowah,34.047638,–86.034420
28,AL,Fayette,33.732249,–87.752049
29,AL,Franklin,34.441988,–87.842815
30,AL,Geneva,31.090866,–85.824346
31,AL,Greene,32.844497,–87.964201
32,AL,Hale,32.752796,–87.623061
33,AL,Henry,31.516978,–85.239971
34,AL,Houston,31.158193,–85.296398
35,AL,Jackson,34.763522,–85.977400
36,AL,Jefferson,33.553444,–86.896536
37,AL,Lamar,33.787085,–88.087431
38,AL,Lauderdale,34.904122,–87.650997
39,AL,Lawrence,34.529776,–87.321865
40,AL,Lee,32.604064,–85.353048
41,AL,Limestone,34.810239,–86.981400
42,AL,Lowndes,32.147888,–86.650586
43,AL,Macon,32.387027,–85.692887
44,AL,Madison,34.764238,–86.551080
45,AL,Marengo,32.247591,–87.791091
46,AL,Marion,34.138219,–87.881551
47,AL,Marshall,34.309564,–86.321668
48,AL,Mobile,30.684573,–88.196568
49,AL,Monroe,31.580332,–87.383266
50,AL,Montgomery,32.203651,–86.203831
51,AL,Morgan,34.454484,–86.846402
52,AL,Perry,32.639005,–87.293827
53,AL,Pickens,33.296809,–88.096878
54,AL,Pike,31.798726,–85.941997
55,AL,Randolph,33.296475,–85.464068
56,AL,Russell,32.289811,–85.186980
57,AL,St Clair,33.712963,–86.315663
58,AL,Shelby,33.262937,–86.678104
59,AL,Sumter,32.597481,–88.200057
60,AL,Talladega,33.369277,–86.175805
61,AL,Tallapoosa,32.863369,–85.799553
62,AL,Tuscaloosa,33.290202,–87.522860
63,AL,Walker,33.791571,–87.301092
64,AL,Washington,31.406974,–88.202078
65,AL,Wilcox,31.99033,–87.302205
66,AL,Winston,34.155888,–87.364147
67,AK,Aleutians East,55.243722,–161.950749
