,county,state_name,state_abbrev
0,BALDWIN,Alabama,AL
1,CALHOUN,Alabama,AL
2,CULLMAN,Alabama,AL
3,DEKALB,Alabama,AL
4,ELMORE,Alabama,AL
5,ETOWAH,Alabama,AL
6,HOUSTON,Alabama,AL
7,JEFFERSON,Alabama,AL
8,LAUDERDALE,Alabama,AL
9,LEE,Alabama,AL
10,LIMESTONE,Alabama,AL
11,MADISON,Alabama,AL
12,MARSHALL,Alabama,AL
13,MOBILE,Alabama,AL
14,MONTGOMERY,Alabama,AL
15,MORGAN,Alabama,AL
16,ST CLAIR,Alabama,AL
17,SHELBY,Alabama,AL
18,TALLADEGA,Alabama,AL
19,TUSCALOOSA,Alabama,AL
20,WALKER,Alabama,AL
21,APACHE,Arizona,AZ
22,COCHISE,Arizona,AZ
23,COCONINO,Arizona,AZ
24,MARICOPA,Arizona,AZ
25,MOHAVE,Arizona,AZ
26,NAVAJO,Arizona,AZ
27,PIMA,Arizona,AZ
28,PINAL,Arizona,AZ
29,YAVAPAI,Arizona,AZ
30,YUMA,Arizona,AZ
31,BENTON,Arkansas,AR
32,CRAIGHEAD,Arkansas,AR
33,FAULKNER,Arkansas,AR
34,GARLAND,Arkansas,AR
35,JEFFERSON,Arkansas,AR
36,LONOKE,Arkansas,AR
37,PULASKI,Arkansas,AR
38,SALINE,Arkansas,AR
39,SEBASTIAN,Arkansas,AR
40,WASHINGTON,Arkansas,AR
41,WHITE,Arkansas,AR
42,ALAMEDA,California,CA
43,BUTTE,California,CA
44,CONTRA COSTA,California,CA
45,EL DORADO,California,CA
46,FRESNO,California,CA
47,HUMBOLDT,California,CA
48,IMPERIAL,California,CA
49,KERN,California,CA
50,KINGS,California,CA
51,LAKE,California,CA
52,LOS ANGELES,California,CA
53,MADERA,California,CA
54,MARIN,California,CA
55,MENDOCINO,California,CA
56,MERCED,California,CA
57,MONTEREY,California,CA
58,NAPA,California,CA
59,NEVADA,California,CA
60,ORANGE,California,CA
61,PLACER,California,CA
62,RIVERSIDE,California,CA
63,SACRAMENTO,California,CA
64,SAN BERNARDINO,California,CA
65,SAN DIEGO,California,CA
66,SAN FRANCISCO,California,CA
67,SAN JOAQUIN,California,CA
68,SAN LUIS OBISPO,California,CA
69,SAN MATEO,California,CA
70,SANTA BARBARA,California,CA
71,SANTA CLARA,California,CA
72,SANTA CRUZ,California,CA
73,SHASTA,California,CA
74,SOLANO,California,CA
75,SONOMA,California,CA
76,STANISLAUS,California,CA
77,SUTTER,California,CA
78,TULARE,California,CA
79,VENTURA,California,CA
80,YOLO,California,CA
81,YUBA,California,CA
82,ADAMS,Colorado,CO
83,ARAPAHOE,Colorado,CO
84,BOULDER,Colorado,CO
85,BROOMFIELD,Colorado,CO
86,DENVER,Colorado,CO
87,DOUGLAS,Colorado,CO
88,EL PASO,Colorado,CO
89,JEFFERSON,Colorado,CO
90,LARIMER,Colorado,CO
91,MESA,Colorado,CO
92,PUEBLO,Colorado,CO
93,WELD,Colorado,CO
94,FAIRFIELD,Connecticut,CT
95,HARTFORD,Connecticut,CT
96,LITCHFIELD,Connecticut,CT
97,MIDDLESEX,Connecticut,CT
98,NEW HAVEN,Connecticut,CT
99,NEW LONDON,Connecticut,CT
100,TOLLAND,Connecticut,CT
101,WINDHAM,Connecticut,CT
102,KENT,Delaware,DE
103,NEW CASTLE,Delaware,DE
104,SUSSEX,Delaware,DE
105,DISTRICT OF COLUMBIA,District of Columbia,DC
106,ALACHUA,Florida,FL
107,BAY,Florida,FL
108,BREVARD,Florida,FL
109,BROWARD,Florida,FL
110,CHARLOTTE,Florida,FL
111,CITRUS,Florida,FL
112,CLAY,Florida,FL
113,COLLIER,Florida,FL
114,COLUMBIA,Florida,FL
115,DUVAL,Florida,FL
116,ESCAMBIA,Florida,FL
117,FLAGLER,Florida,FL
118,HERNANDO,Florida,FL
119,HIGHLANDS,Florida,FL
120,HILLSBOROUGH,Florida,FL
121,INDIAN RIVER,Florida,FL
122,LAKE,Florida,FL
123,LEE,Florida,FL
124,LEON,Florida,FL
125,MANATEE,Florida,FL
126,MARION,Florida,FL
127,MARTIN,Florida,FL
128,MIAMI-DADE,Florida,FL
129,MONROE,Florida,FL
130,NASSAU,Florida,FL
131,OKALOOSA,Florida,FL
132,ORANGE,Florida,FL
133,OSCEOLA,Florida,FL
134,PALM BEACH,Florida,FL
135,PASCO,Florida,FL
136,PINELLAS,Florida,FL
137,POLK,Florida,FL
138,PUTNAM,Florida,FL
139,ST JOHNS,Florida,FL
140,ST LUCIE,Florida,FL
141,SANTA ROSA,Florida,FL
142,SARASOTA,Florida,FL
143,SEMINOLE,Florida,FL
144,SUMTER,Florida,FL
145,VOLUSIA,Florida,FL
146,WALTON,Florida,FL
147,BARROW,Georgia,GA
148,BARTOW,Georgia,GA
149,BIBB,Georgia,GA
150,BULLOCH,Georgia,GA
151,CARROLL,Georgia,GA
152,CATOOSA,Georgia,GA
153,CHATHAM,Georgia,GA
154,CHEROKEE,Georgia,GA
155,CLARKE,Georgia,GA
156,CLAYTON,Georgia,GA
157,COBB,Georgia,GA
158,COLUMBIA,Georgia,GA
159,COWETA,Georgia,GA
160,DEKALB,Georgia,GA
161,DOUGHERTY,Georgia,GA
162,DOUGLAS,Georgia,GA
163,FAYETTE,Georgia,GA
164,FLOYD,Georgia,GA
165,FORSYTH,Georgia,GA
166,FULTON,Georgia,GA
167,GLYNN,Georgia,GA
168,GWINNETT,Georgia,GA
169,HALL,Georgia,GA
170,HENRY,Georgia,GA
171,HOUSTON,Georgia,GA
172,JACKSON,Georgia,GA
173,LOWNDES,Georgia,GA
174,MUSCOGEE,Georgia,GA
175,NEWTON,Georgia,GA
176,PAULDING,Georgia,GA
177,RICHMOND,Georgia,GA
178,ROCKDALE,Georgia,GA
179,SPALDING,Georgia,GA
180,TROUP,Georgia,GA
181,WALKER,Georgia,GA
182,WALTON,Georgia,GA
183,WHITFIELD,Georgia,GA
184,ADA,Idaho,ID
185,BANNOCK,Idaho,ID
186,BONNEVILLE,Idaho,ID
187,CANYON,Idaho,ID
188,KOOTENAI,Idaho,ID
189,TWIN FALLS,Idaho,ID
190,ADAMS,Illinois,IL
191,CHAMPAIGN,Illinois,IL
192,COOK,Illinois,IL
193,DEKALB,Illinois,IL
194,DUPAGE,Illinois,IL
195,KANE,Illinois,IL
