zipcode,state_abbrev,county,state_name
501,NY,Suffolk,New York
544,NY,Suffolk,New York
601,PR,Adjuntas,Puerto Rico
603,PR,Aguadilla,Puerto Rico
606,PR,Maricao,Puerto Rico
612,PR,Arecibo,Puerto Rico
616,PR,Arecibo,Puerto Rico
617,PR,Barceloneta,Puerto Rico
652,PR,Arecibo,Puerto Rico
723,PR,Patillas,Puerto Rico
729,PR,CanÃƒÂ³vanas,Puerto Rico
757,PR,Santa Isabel,Puerto Rico
786,PR,Aibonito,Puerto Rico
929,PR,San Juan,Puerto Rico
931,PR,San Juan,Puerto Rico
933,PR,San Juan,Puerto Rico
935,PR,San Juan,Puerto Rico
937,PR,San Juan,Puerto Rico
939,PR,San Juan,Puerto Rico
952,PR,Toa Baja,Puerto Rico
953,PR,Toa Alta,Puerto Rico
954,PR,Toa Alta,Puerto Rico
955,PR,San Juan,Puerto Rico
956,PR,BayamÃƒÂ³n,Puerto Rico
957,PR,BayamÃƒÂ³n,Puerto Rico
958,PR,BayamÃƒÂ³n,Puerto Rico
959,PR,BayamÃƒÂ³n,Puerto Rico
961,PR,BayamÃƒÂ³n,Puerto Rico
962,PR,CataÃƒÂ±o,Puerto Rico
963,PR,CataÃƒÂ±o,Puerto Rico
965,PR,Guaynabo,Puerto Rico
966,PR,Guaynabo,Puerto Rico
968,PR,Guaynabo,Puerto Rico
969,PR,Guaynabo,Puerto Rico
971,PR,Guaynabo,Puerto Rico
975,PR,San Juan,Puerto Rico
976,PR,Trujillo Alto,Puerto Rico
978,PR,San Juan,Puerto Rico
979,PR,Carolina,Puerto Rico
981,PR,Carolina,Puerto Rico
982,PR,Carolina,Puerto Rico
983,PR,Carolina,Puerto Rico
984,PR,Carolina,Puerto Rico
985,PR,Carolina,Puerto Rico
986,PR,Carolina,Puerto Rico
987,PR,Carolina,Puerto Rico
988,PR,Carolina,Puerto Rico
1001,MA,Hampden,Massachusetts
1002,MA,Hampshire,Massachusetts
1003,MA,Hampshire,Massachusetts
1004,MA,Hampshire,Massachusetts
1005,MA,Worcester,Massachusetts
1007,MA,Hampshire,Massachusetts
1008,MA,Hampden,Massachusetts
1009,MA,Hampden,Massachusetts
1010,MA,Hampden,Massachusetts
1011,MA,Hampden,Massachusetts
1012,MA,Hampshire,Massachusetts
1013,MA,Hampden,Massachusetts
1014,MA,Hampden,Massachusetts
1020,MA,Hampden,Massachusetts
1021,MA,Hampden,Massachusetts
1022,MA,Hampden,Massachusetts
1026,MA,Hampshire,Massachusetts
1027,MA,Hampshire,Massachusetts
1028,MA,Hampden,Massachusetts
1029,MA,Berkshire,Massachusetts
1030,MA,Hampden,Massachusetts
1031,MA,Worcester,Massachusetts
1032,MA,Hampshire,Massachusetts
1033,MA,Hampshire,Massachusetts
1034,MA,Hampden,Massachusetts
1035,MA,Hampshire,Massachusetts
1036,MA,Hampden,Massachusetts
1037,MA,Worcester,Massachusetts
1038,MA,Hampshire,Massachusetts
1039,MA,Hampshire,Massachusetts
1040,MA,Hampden,Massachusetts
1041,MA,Hampden,Massachusetts
1050,MA,Hampshire,Massachusetts
1053,MA,Hampshire,Massachusetts
1054,MA,Franklin,Massachusetts
1056,MA,Hampden,Massachusetts
1057,MA,Hampden,Massachusetts
1059,MA,Hampshire,Massachusetts
1060,MA,Hampshire,Massachusetts
1061,MA,Hampshire,Massachusetts
1062,MA,Hampshire,Massachusetts
1063,MA,Hampshire,Massachusetts
1066,MA,Franklin,Massachusetts
1068,MA,Worcester,Massachusetts
1069,MA,Hampden,Massachusetts
1070,MA,Hampshire,Massachusetts
1071,MA,Hampden,Massachusetts
1072,MA,Franklin,Massachusetts
1073,MA,Hampshire,Massachusetts
1074,MA,Worcester,Massachusetts
1075,MA,Hampshire,Massachusetts
1077,MA,Hampden,Massachusetts
1079,MA,Hampden,Massachusetts
1080,MA,Hampden,Massachusetts
1081,MA,Hampden,Massachusetts
1082,MA,Hampshire,Massachusetts
1083,MA,Worcester,Massachusetts
1084,MA,Hampshire,Massachusetts
1085,MA,Hampden,Massachusetts
1086,MA,Hampden,Massachusetts
1088,MA,Hampshire,Massachusetts
1089,MA,Hampden,Massachusetts
1090,MA,Hampden,Massachusetts
1092,MA,Worcester,Massachusetts
1093,MA,Franklin,Massachusetts
1094,MA,Worcester,Massachusetts
1095,MA,Hampden,Massachusetts
1096,MA,Hampshire,Massachusetts
1097,MA,Hampden,Massachusetts
1098,MA,Hampshire,Massachusetts
1101,MA,Hampden,Massachusetts
1102,MA,Hampden,Massachusetts
1103,MA,Hampden,Massachusetts
1104,MA,Hampden,Massachusetts
1105,MA,Hampden,Massachusetts
1106,MA,Hampden,Massachusetts
1107,MA,Hampden,Massachusetts
1108,MA,Hampden,Massachusetts
1109,MA,Hampden,Massachusetts
1111,MA,Hampden,Massachusetts
1115,MA,Hampden,Massachusetts
1116,MA,Hampden,Massachusetts
1118,MA,Hampden,Massachusetts
1119,MA,Hampden,Massachusetts
1128,MA,Hampden,Massachusetts
1129,MA,Hampden,Massachusetts
1133,MA,Hampden,Massachusetts
1138,MA,Hampden,Massachusetts
1139,MA,Hampden,Massachusetts
1144,MA,Hampden,Massachusetts
1151,MA,Hampden,Massachusetts
1152,MA,Hampden,Massachusetts
1195,MA,Hampden,Massachusetts
1199,MA,Hampden,Massachusetts
1201,MA,Berkshire,Massachusetts
1202,MA,Berkshire,Massachusetts
1203,MA,Berkshire,Massachusetts
1220,MA,Berkshire,Massachusetts
1222,MA,Berkshire,Massachusetts
1223,MA,Berkshire,Massachusetts
1224,MA,Berkshire,Massachusetts
1225,MA,Berkshire,Massachusetts
1226,MA,Berkshire,Massachusetts
1227,MA,Berkshire,Massachusetts
1229,MA,Berkshire,Massachusetts
1230,MA,Berkshire,Massachusetts
1235,MA,Berkshire,Massachusetts
1236,MA,Berkshire,Massachusetts
1237,MA,Berkshire,Massachusetts
1238,MA,Berkshire,Massachusetts
1240,MA,Berkshire,Massachusetts
1242,MA,Berkshire,Massachusetts
1243,MA,Hampshire,Massachusetts
1244,MA,Berkshire,Massachusetts
1245,MA,Berkshire,Massachusetts
1247,MA,Berkshire,Massachusetts
1252,MA,Berkshire,Massachusetts
1253,MA,Berkshire,Massachusetts
1254,MA,Berkshire,Massachusetts
1255,MA,Berkshire,Massachusetts
1256,MA,Berkshire,Massachusetts
1257,MA,Berkshire,Massachusetts
1258,MA,Berkshire,Massachusetts
1259,MA,Berkshire,Massachusetts
1260,MA,Berkshire,Massachusetts
1262,MA,Berkshire,Massachusetts
1263,MA,Berkshire,Massachusetts
1264,MA,Berkshire,Massachusetts
1266,MA,Berkshire,Massachusetts
1267,MA,Berkshire,Massachusetts
1270,MA,Berkshire,Massachusetts
1301,MA,Franklin,Massachusetts
1302,MA,Franklin,Massachusetts
1330,MA,Franklin,Massachusetts
1331,MA,Worcester,Massachusetts
1337,MA,Franklin,Massachusetts
1338,MA,Franklin,Massachusetts
1339,MA,Franklin,Massachusetts
1340,MA,Franklin,Massachusetts
1341,MA,Franklin,Massachusetts
1342,MA,Franklin,Massachusetts
1343,MA,Berkshire,Massachusetts
1344,MA,Franklin,Massachusetts
1346,MA,Franklin,Massachusetts
1347,MA,Franklin,Massachusetts
1349,MA,Franklin,Massachusetts
1350,MA,Franklin,Massachusetts
1351,MA,Franklin,Massachusetts
1354,MA,Franklin,Massachusetts
1355,MA,Franklin,Massachusetts
1360,MA,Franklin,Massachusetts
1364,MA,Franklin,Massachusetts
1366,MA,Worcester,Massachusetts
1367,MA,Franklin,Massachusetts
1368,MA,Worcester,Massachusetts
1370,MA,Franklin,Massachusetts
1373,MA,Franklin,Massachusetts
1375,MA,Franklin,Massachusetts
1376,MA,Franklin,Massachusetts
1378,MA,Franklin,Massachusetts
1379,MA,Franklin,Massachusetts
1380,MA,Franklin,Massachusetts
1420,MA,Worcester,Massachusetts
1430,MA,Worcester,Massachusetts
1431,MA,Middlesex,Massachusetts
1432,MA,Middlesex,Massachusetts
1434,MA,Worcester,Massachusetts
