Zipcode,State,CountyName,State Latitude,State Longitude,ZipLatitude,ZipLongitude
10025,NY,New York County,43,-75,40.71,-73.99
60657,IL,Cook County,40,-89,41.83,-87.68
10023,NY,New York County,43,-75,40.71,-73.99
77494,TX,Harris County,31,-100,29.79,-95.82
60614,IL,Cook County,40,-89,41.83,-87.68
77449,TX,Harris County,31,-100,29.79,-95.82
10002,NY,New York County,43,-75,40.71,-73.99
77084,TX,Harris County,31,-100,29.76,-95.38
79936,TX,El Paso County,31,-100,31.84,-106.43
60640,IL,Cook County,40,-89,41.83,-87.68
11226,NY,Kings County,43,-75,40.64,-73.94
10467,NY,Bronx County,43,-75,40.84,-73.87
78660,TX,Travis County,31,-100,30.44,-97.62
94109,CA,San Francisco County,36.778259,-119.417931,37.79,-122.42
926,LA,Sabine Parish,30.39183,-92.329102,18.4,-66.06
10016,NY,New York County,43,-75,40.71,-73.99
37013,TN,Davidson County,35.860119,-86.660156,36.04,-86.64
32162,FL,Sumter County,27.994402,-81.760254,28.92,-81.92
60647,IL,Cook County,40,-89,41.83,-87.68
11201,NY,Kings County,43,-75,40.64,-73.94
11235,NY,Kings County,43,-75,40.64,-73.94
11375,NY,Queens County,43,-75,40.72,-73.84
90250,CA,Los Angeles County,36.778259,-119.417931,33.91,-118.34
78130,TX,Comal County,31,-100,29.7,-98.11
37211,TN,Davidson County,35.860119,-86.660156,36.17,-86.78
10009,NY,New York County,43,-75,40.71,-73.99
77573,TX,Galveston County,31,-100,29.48,-95.1
60618,IL,Cook County,40,-89,41.83,-87.68
77584,TX,Brazoria County,31,-100,29.55,-95.27
10011,NY,New York County,43,-75,40.71,-73.99
20002,DC,District of Columbia,38.9072,77.0369,38.89,-77.03
10128,NY,New York County,43,-75,40.71,-73.99
28269,NC,Mecklenburg County,35.782169,-80.793457,35.19,-80.83
78613,TX,Williamson County,31,-100,30.51,-97.83
77433,TX,Harris County,31,-100,29.96,-95.69
78572,TX,Hidalgo County,31,-100,26.21,-98.31
30349,GA,Clayton County,33.247875,-83.441162,33.61,-84.49
79912,TX,El Paso County,31,-100,31.84,-106.43
75052,TX,Dallas County,31,-100,32.69,-97.01
94565,CA,Contra Costa County,36.778259,-119.417931,38,-121.83
37042,TN,Montgomery County,35.860119,-86.660156,36.56,-87.34
11206,NY,Kings County,43,-75,40.64,-73.94
73099,OK,Canadian County,36.084621,-96.921387,35.51,-97.76
90046,CA,Los Angeles County,36.778259,-119.417931,34.1,-118.37
20009,DC,District of Columbia,38.9072,77.0369,38.89,-77.03
77429,TX,Harris County,31,-100,29.96,-95.69
78245,TX,Bexar County,31,-100,29.45,-98.5
77479,TX,Fort Bend County,31,-100,29.61,-95.61
10462,NY,Bronx County,43,-75,40.84,-73.87
10456,NY,Bronx County,43,-75,40.84,-73.87
60613,IL,Cook County,40,-89,41.83,-87.68
30044,GA,Gwinnett County,33.247875,-83.441162,33.94,-83.99
10019,NY,New York County,43,-75,40.71,-73.99
63376,MO,Saint Charles County,38.573936,-92.60376,38.77,-90.6
10003,NY,New York County,43,-75,40.71,-73.99
28277,NC,Mecklenburg County,35.782169,-80.793457,35.19,-80.83
60625,IL,Cook County,40,-89,41.83,-87.68
30043,GA,Gwinnett County,33.247875,-83.441162,33.94,-83.99
11230,NY,Kings County,43,-75,40.64,-73.94
11212,NY,Kings County,43,-75,40.64,-73.94
77036,TX,Harris County,31,-100,29.76,-95.38
10463,NY,New York County,43,-75,40.84,-73.87
60629,IL,Cook County,40,-89,41.83,-87.68
11209,NY,Kings County,43,-75,40.64,-73.94
30096,GA,Gwinnett County,33.247875,-83.441162,34,-84.15
11221,NY,Kings County,43,-75,40.64,-73.94
7030,NJ,Hudson County,39.833851,-74.871826,40.74,-74.02
98052,WA,King County,47.751076,-120.740135,47.68,-122.12
30024,GA,Gwinnett County,33.247875,-83.441162,34.05,-84.07
60610,IL,Cook County,40,-89,41.83,-87.68
78704,TX,Travis County,31,-100,30.26,-97.74
77077,TX,Harris County,31,-100,29.76,-95.38
85032,AZ,Maricopa County,34.048927,-111.093735,33.62,-112
77379,TX,Harris County,31,-100,30.06,-95.38
75287,TX,Dallas County,31,-100,32.79,-96.76
10024,NY,New York County,43,-75,40.71,-73.99
78666,TX,Hays County,31,-100,29.88,-97.92
21234,MD,Baltimore County,39.045753,-76.641273,39.38,-76.55
33160,FL,Miami-Dade County,27.994402,-81.760254,25.77,-80.2
23464,VA,Virginia Beach City,37.926868,-78.024902,36.73,-76.04
34787,FL,Orange County,27.994402,-81.760254,28.56,-81.58
78521,TX,Cameron County,31,-100,25.92,-97.48
8701,NJ,Ocean County,39.833851,-74.871826,40.09,-74.21
75243,TX,Dallas County,31,-100,32.79,-96.76
11214,NY,Kings County,43,-75,40.64,-73.94
28027,NC,Cabarrus County,35.782169,-80.793457,35.4,-80.59
11207,NY,Kings County,43,-75,40.64,-73.94
94501,CA,Alameda County,36.778259,-119.417931,37.77,-122.27
2169,MA,Norfolk County,42.407211,-71.382439,42.26,-71
33411,FL,Palm Beach County,27.994402,-81.760254,26.74,-80.12
11229,NY,Kings County,43,-75,40.64,-73.94
60619,IL,Cook County,40,-89,41.83,-87.68
78745,TX,Travis County,31,-100,30.26,-97.74
94110,CA,San Francisco County,36.778259,-119.417931,37.74,-122.41
23462,VA,Virginia Beach City,37.926868,-78.024902,36.73,-76.04
